profile_id,strokes
OHE-00001,5
OHE-00002,5
OHE-00003,8
OHE-00004,9
OHE-00005,10
OHE-00006,12
OHE-00007,13
OHE-00008,13
OHE-00009,13
OHE-00010,14
OHE-00011,14
OHE-00012,15
OHE-00013,15
OHE-00014,6
OHE-00015,7
OHE-00016,7
OHE-00017,8
OHE-00018,10
OHE-00019,10
OHE-00020,12
OHE-00021,14
OHE-00022,20
OHE-00023,3
OHE-00024,5
OHE-00025,6
OHE-00026,7
OHE-00027,8
OHE-00028,9
OHE-00029,9
OHE-00030,12
OHE-00031,13
OHE-00032,13
OHE-00033,16
OHE-00034,16
OHE-00035,17
OHE-00036,18
OHE-00037,13
OHE-00038,15
OHE-00039,5
OHE-00040,11
OHE-00041,12
OHE-00042,12
OHE-00043,13
OHE-00044,13
OHE-00045,14
OHE-00046,17
OHE-00047,22
OHE-00048,5
OHE-00049,13
OHE-00050,7
OHE-00051,8
OHE-00052,9
OHE-00053,10
OHE-00054,11
OHE-00055,11
OHE-00056,11
OHE-00057,11
OHE-00058,14
OHE-00059,14
OHE-00060,16
OHE-00061,16
OHE-00062,17
OHE-00063,4
OHE-00064,6
OHE-00065,7
OHE-00066,10
OHE-00067,12
OHE-00068,12
OHE-00069,15
OHE-00070,15
OHE-00071,16
OHE-00072,9
OHE-00073,7
OHE-00074,5
OHE-00075,5
OHE-00076,7
OHE-00077,8
OHE-00078,9
OHE-00079,12
OHE-00080,13
OHE-00081,17
OHE-00082,18
OHE-00083,3
OHE-00084,6
OHE-00085,9
OHE-00086,10
OHE-00087,11
OHE-00088,11
OHE-00089,13
OHE-00090,17
OHE-00091,8
OHE-00092,12
OHE-00093,15
OHE-00094,15
OHE-00095,17
OHE-00096,13
OHE-00097,16
OHE-00098,10
OHE-00099,17
OHE-00100,17
OHE-00101,7
OHE-00102,11
OHE-00103,11
OHE-00104,13
OHE-00105,17
OHE-00106,8
OHE-00107,12
OHE-00108,16
OHE-00109,10
OHE-00110,17
OHE-00111,7
OHE-00112,8
OHE-00113,8
OHE-00114,8
OHE-00115,8
OHE-00116,9
OHE-00117,9
OHE-00118,10
OHE-00119,10
OHE-00120,10
OHE-00121,10
OHE-00122,11
OHE-00123,11
OHE-00124,11
OHE-00125,12
OHE-00126,12
OHE-00127,12
OHE-00128,13
OHE-00129,13
OHE-00130,13
OHE-00131,14
OHE-00132,14
OHE-00133,14
OHE-00134,15
OHE-00135,16
OHE-00136,16
OHE-00137,17
OHE-00138,17
OHE-00139,19
OHE-00140,19
OHE-00141,20
OHE-00142,20
OHE-00143,20
OHE-00144,7
OHE-00145,7
OHE-00146,8
OHE-00147,9
OHE-00148,9
OHE-00149,9
OHE-00150,9
OHE-00151,9
OHE-00152,10
OHE-00153,11
OHE-00154,14
OHE-00155,14
OHE-00156,17
OHE-00157,20
OHE-00158,21
OHE-00159,5
OHE-00160,5
OHE-00161,7
OHE-00162,8
OHE-00163,8
OHE-00164,8
OHE-00165,9
OHE-00166,10
OHE-00167,10
OHE-00168,11
OHE-00169,13
OHE-00170,14
OHE-00171,15
OHE-00172,21
OHE-00173,6
OHE-00174,7
OHE-00175,15
OHE-00176,8
OHE-00177,8
OHE-00178,11
OHE-00179,13
OHE-00180,10
OHE-00181,3
OHE-00182,4
OHE-00183,4
OHE-00184,5
OHE-00185,6
OHE-00186,7
OHE-00187,8
OHE-00188,8
OHE-00189,10
OHE-00190,10
OHE-00191,11
OHE-00192,12
OHE-00193,4
OHE-00194,5
OHE-00195,8
OHE-00196,9
OHE-00197,13
OHE-00198,14
OHE-00199,15
OHE-00200,16
OHE-00201,14
OHE-00202,15
OHE-00203,8
OHE-00204,9
OHE-00205,11
OHE-00206,12
OHE-00207,13
OHE-00208,14
OHE-00209,15
OHE-00210,15
OHE-00211,17
OHE-00212,19
OHE-00213,22
OHE-00214,23
OHE-00215,25
OHE-00216,10
OHE-00217,6
OHE-00218,6
OHE-00219,8
OHE-00220,8
OHE-00221,10
OHE-00222,11
OHE-00223,15
OHE-00224,19
OHE-00225,23
OHE-00226,12
OHE-00227,13
OHE-00228,7
OHE-00229,5
OHE-00230,6
OHE-00231,10
OHE-00232,11
OHE-00233,12
OHE-00234,13
OHE-00235,13
OHE-00236,15
OHE-00237,16
OHE-00238,17
OHE-00239,3
OHE-00240,3
OHE-00241,5
OHE-00242,5
OHE-00243,7
OHE-00244,7
OHE-00245,8
OHE-00246,8
OHE-00247,8
OHE-00248,9
OHE-00249,9
OHE-00250,10
OHE-00251,10
OHE-00252,11
OHE-00253,11
OHE-00254,11
OHE-00255,11
OHE-00256,12
OHE-00257,12
OHE-00258,13
OHE-00259,14
OHE-00260,14
OHE-00261,15
OHE-00262,16
OHE-00263,17
OHE-00264,18
OHE-00265,18
OHE-00266,21
OHE-00267,22
OHE-00268,7
OHE-00269,11
OHE-00270,14
OHE-00271,17
OHE-00272,7
OHE-00273,9
OHE-00274,13
OHE-00275,8
OHE-00276,13
OHE-00277,3
OHE-00278,10
OHE-00279,10
OHE-00280,8
OHE-00281,8
OHE-00282,10
OHE-00283,11
OHE-00284,11
OHE-00285,20
OHE-00286,22
OHE-00287,18
OHE-00288,9
OHE-00289,12
OHE-00290,16
OHE-00291,18
OHE-00292,5
OHE-00293,6
OHE-00294,9
OHE-00295,11
OHE-00296,11
OHE-00297,13
OHE-00298,14
OHE-00299,15
OHE-00300,15
OHE-00301,16
OHE-00302,7
OHE-00303,9
OHE-00304,12
OHE-00305,14
OHE-00306,7
OHE-00307,9
OHE-00308,13
OHE-00309,15
OHE-00310,18
OHE-00311,4
OHE-00312,6
OHE-00313,10
OHE-00314,11
OHE-00315,13
OHE-00316,13
OHE-00317,14
OHE-00318,15
OHE-00319,15
OHE-00320,16
OHE-00321,18
OHE-00322,4
OHE-00323,8
OHE-00324,8
OHE-00325,10
OHE-00326,13
OHE-00327,16
OHE-00328,19
OHE-00329,4
OHE-00330,8
OHE-00331,10
OHE-00332,12
OHE-00333,6
OHE-00334,9
OHE-00335,10
OHE-00336,14
OHE-00337,3
OHE-00338,6
OHE-00339,6
OHE-00340,7
OHE-00341,7
OHE-00342,7
OHE-00343,8
OHE-00344,8
OHE-00345,8
OHE-00346,8
OHE-00347,8
OHE-00348,8
OHE-00349,9
OHE-00350,9
OHE-00351,10
OHE-00352,10
OHE-00353,10
OHE-00354,10
OHE-00355,10
OHE-00356,11
OHE-00357,11
OHE-00358,11
OHE-00359,11
OHE-00360,11
OHE-00361,12
OHE-00362,12
OHE-00363,12
OHE-00364,12
OHE-00365,13
OHE-00366,13
OHE-00367,13
OHE-00368,13
OHE-00369,14
OHE-00370,14
OHE-00371,14
OHE-00372,14
OHE-00373,15
OHE-00374,16
OHE-00375,16
OHE-00376,16
OHE-00377,16
OHE-00378,16
OHE-00379,16
OHE-00380,17
OHE-00381,17
OHE-00382,18
OHE-00383,18
OHE-00384,19
OHE-00385,19
OHE-00386,27
OHE-00387,14
OHE-00388,6
OHE-00389,8
OHE-00390,9
OHE-00391,10
OHE-00392,8
OHE-00393,9
OHE-00394,9
OHE-00395,10
OHE-00396,11
OHE-00397,16
OHE-00398,13
OHE-00399,13
OHE-00400,12
OHE-00401,7
OHE-00402,9
OHE-00403,13
OHE-00404,13
OHE-00405,10
OHE-00406,10
OHE-00407,2
OHE-00408,4
OHE-00409,9
OHE-00410,9
OHE-00411,3
OHE-00412,6
OHE-00413,8
OHE-00414,14
OHE-00415,7
OHE-00416,13
OHE-00417,17
OHE-00418,10
OHE-00419,12
OHE-00420,9
OHE-00421,6
OHE-00422,12
OHE-00423,4
OHE-00424,5
OHE-00425,7
OHE-00426,9
OHE-00427,12
OHE-00428,12
OHE-00429,14
OHE-00430,14
OHE-00431,15
OHE-00432,16
OHE-00433,17
OHE-00434,17
OHE-00435,18
OHE-00436,16
OHE-00437,12
OHE-00438,12
OHE-00439,15
OHE-00440,16
OHE-00441,17
OHE-00442,17
OHE-00443,19
OHE-00444,9
OHE-00445,12
OHE-00446,10
OHE-00447,11
OHE-00448,13
OHE-00449,13
OHE-00450,16
OHE-00451,20
OHE-00452,3
OHE-00453,5
OHE-00454,8
OHE-00455,9
OHE-00456,10
OHE-00457,11
OHE-00458,11
OHE-00459,12
OHE-00460,14
OHE-00461,14
OHE-00462,17
OHE-00463,18
OHE-00464,18
OHE-00465,15
OHE-00466,2
OHE-00467,8
OHE-00468,9
OHE-00469,10
OHE-00470,10
OHE-00471,10
OHE-00472,10
OHE-00473,12
OHE-00474,13
OHE-00475,13
OHE-00476,13
OHE-00477,14
OHE-00478,14
OHE-00479,15
OHE-00480,16
OHE-00481,16
OHE-00482,16
OHE-00483,16
OHE-00484,17
OHE-00485,17
OHE-00486,18
OHE-00487,18
OHE-00488,19
OHE-00489,13
OHE-00490,16
OHE-00491,22
OHE-00492,12
OHE-00493,12
OHE-00494,13
OHE-00495,15
OHE-00496,16
OHE-00497,16
OHE-00498,6
OHE-00499,5
OHE-00500,6
OHE-00501,8
OHE-00502,10
OHE-00503,10
OHE-00504,11
OHE-00505,12
OHE-00506,12
OHE-00507,14
OHE-00508,15
OHE-00509,16
OHE-00510,17
OHE-00511,4
OHE-00512,7
OHE-00513,7
OHE-00514,8
OHE-00515,16
OHE-00516,4
OHE-00517,12
OHE-00518,11
OHE-00519,12
OHE-00520,12
OHE-00521,16
OHE-00522,19
OHE-00523,20
OHE-00524,21
OHE-00525,17
OHE-00526,20
OHE-00527,10
OHE-00528,11
OHE-00529,12
OHE-00530,15
OHE-00531,7
OHE-00532,21
OHE-00533,21
OHE-00534,23
OHE-00535,18
OHE-00536,20
OHE-00537,21
OHE-00538,11
OHE-00539,11
OHE-00540,12
OHE-00541,14
OHE-00542,15
OHE-00543,8
OHE-00544,11
OHE-00545,14
OHE-00546,7
OHE-00547,11
OHE-00548,7
OHE-00549,8
OHE-00550,9
OHE-00551,10
OHE-00552,10
OHE-00553,11
OHE-00554,12
OHE-00555,12
OHE-00556,15
OHE-00557,15
OHE-00558,18
OHE-00559,7
OHE-00560,9
OHE-00561,10
OHE-00562,15
OHE-00563,15
OHE-00564,15
OHE-00565,17
OHE-00566,19
OHE-00567,2
OHE-00568,16
OHE-00569,16
OHE-00570,13
OHE-00571,14
OHE-00572,15
OHE-00573,16
OHE-00574,17
OHE-00575,17
OHE-00576,17
OHE-00577,23
OHE-00578,6
OHE-00579,10
OHE-00580,10
OHE-00581,13
OHE-00582,17
OHE-00583,17
OHE-00584,19
OHE-00585,19
OHE-00586,5
OHE-00587,7
OHE-00588,9
OHE-00589,10
OHE-00590,13
OHE-00591,13
OHE-00592,14
OHE-00593,17
OHE-00594,20
OHE-00595,24
OHE-00596,8
OHE-00597,18
OHE-00598,6
OHE-00599,12
OHE-00600,13
OHE-00601,15
OHE-00602,16
OHE-00603,20
OHE-00604,20
OHE-00605,23
OHE-00606,11
OHE-00607,13
OHE-00608,14
OHE-00609,16
OHE-00610,15
OHE-00611,7
OHE-00612,20
OHE-00613,21
OHE-00614,22
OHE-00615,13
OHE-00616,16
OHE-00617,20
OHE-00618,2
OHE-00619,12
OHE-00620,14
OHE-00621,16
OHE-00622,11
OHE-00623,14
OHE-00624,15
OHE-00625,9
OHE-00626,10
OHE-00627,11
OHE-00628,12
OHE-00629,12
OHE-00630,15
OHE-00631,15
OHE-00632,19
OHE-00633,6
OHE-00634,16
OHE-00635,8
OHE-00636,10
OHE-00637,11
OHE-00638,14
OHE-00639,15
OHE-00640,9
OHE-00641,10
OHE-00642,11
OHE-00643,17
OHE-00644,15
OHE-00645,13
OHE-00646,14
OHE-00647,14
OHE-00648,16
OHE-00649,6
OHE-00650,7
OHE-00651,7
OHE-00652,7
OHE-00653,11
OHE-00654,11
OHE-00655,12
OHE-00656,13
OHE-00657,13
OHE-00658,15
OHE-00659,16
OHE-00660,16
OHE-00661,17
OHE-00662,20
OHE-00663,23
OHE-00664,8
OHE-00665,12
OHE-00666,13
OHE-00667,16
OHE-00668,17
OHE-00669,5
OHE-00670,11
OHE-00671,11
OHE-00672,10
OHE-00673,11
OHE-00674,15
OHE-00675,16
OHE-00676,13
OHE-00677,14
OHE-00678,15
OHE-00679,3
OHE-00680,11
OHE-00681,11
OHE-00682,15
OHE-00683,15
OHE-00684,17
OHE-00685,5
OHE-00686,11
OHE-00687,11
OHE-00688,14
OHE-00689,7
OHE-00690,8
OHE-00691,11
OHE-00692,12
OHE-00693,12
OHE-00694,15
OHE-00695,11
OHE-00696,12
OHE-00697,8
OHE-00698,12
OHE-00699,13
OHE-00700,14
OHE-00701,7
OHE-00702,9
OHE-00703,9
OHE-00704,11
OHE-00705,12
OHE-00706,14
OHE-00707,6
OHE-00708,8
OHE-00709,8
OHE-00710,14
OHE-00711,14
OHE-00712,14
OHE-00713,4
OHE-00714,5
OHE-00715,5
OHE-00716,6
OHE-00717,9
OHE-00718,9
OHE-00719,13
OHE-00720,14
OHE-00721,15
OHE-00722,15
OHE-00723,15
OHE-00724,15
OHE-00725,16
OHE-00726,18
OHE-00727,4
OHE-00728,5
OHE-00729,8
OHE-00730,8
OHE-00731,13
OHE-00732,16
OHE-00733,14
OHE-00734,16
OHE-00735,5
OHE-00736,7
OHE-00737,11
OHE-00738,13
OHE-00739,17
OHE-00740,5
OHE-00741,8
OHE-00742,9
OHE-00743,10
OHE-00744,11
OHE-00745,11
OHE-00746,12
OHE-00747,12
OHE-00748,12
OHE-00749,14
OHE-00750,16
OHE-00751,17
OHE-00752,19
OHE-00753,15
OHE-00754,16
OHE-00755,4
OHE-00756,8
OHE-00757,10
OHE-00758,11
OHE-00759,14
